;L1;L2;L3;Total
C1;0,002 (0,002);0,003 (0,002);0,004 (0,002);0,003 (0,002)
C2;7,418 (4,511);13,328 (4,792);24,026 (10,789);14,924 (9,984)
C3;9,729 (3,868);20,197 (11,621);27,914 (9,104);19,280 (11,481)
C4;240,240 (338,068);402,072 (465,784);259,817 (281,658);300,710 (372,064)
