;L1;L2;L3;Total
C1: RPA;0,269 (0,153);0,050 (0,054);0,014 (0,031);0,111 (0,148)
C2: Single-Prompt;0,787 (0,212);0,405 (0,340);0,333 (0,388);0,508 (0,376)
C3: Single-Agent;0,788 (0,193);0,420 (0,331);0,262 (0,376);0,490 (0,378)
C4: Multi-Agent;0,717 (0,236);0,419 (0,405);0,117 (0,275);0,418 (0,396)
