Architektur;Komplexitätsvergleich;p (Holm);g
L1;L2;< ,001;1,88
L1;L3;< ,001;2,27
L2;L3;0,018;0,80
L1;L2;< ,001;1,33
L1;L3;< ,001;1,43
L2;L3;0,490;0,19
L1;L2;< ,001;1,34
L1;L3;< ,001;1,73
L2;L3;0,239;0,44
L1;L2;0,013;0,88
L1;L3;< ,001;2,30
L2;L3;0,014;0,86
